"Subject"		"Activity"		"Variable"		"Count"		"Average"
18		"SITTING"		"Mean"		1881		-0.98682249891547
18		"SITTING"		"SD"		1881		-0.500879188018935
18		"STANDING"		"Mean"		2409		-0.977252557799917
18		"STANDING"		"SD"		2409		-0.51159610403823
18		"WALKING"		"Mean"		1848		-0.553086396517316
18		"WALKING"		"SD"		1848		-0.235871294315281
18		"WALKING_DOWNSTAIRS"		"Mean"		1815		-0.52241384561708
18		"WALKING_DOWNSTAIRS"		"SD"		1815		-0.232639629533945
18		"WALKING_UPSTAIRS"		"Mean"		1914		-0.570427044938872
18		"WALKING_UPSTAIRS"		"SD"		1914		-0.282511419626968
19		"LAYING"		"Mean"		2739		-0.975283077013509
19		"LAYING"		"SD"		2739		-0.509003422068129
19		"SITTING"		"Mean"		2409		-0.9708062616978
19		"SITTING"		"SD"		2409		-0.485545520880056
19		"STANDING"		"Mean"		2409		-0.968736065118306
19		"STANDING"		"SD"		2409		-0.502360007746994
19		"WALKING"		"Mean"		1716		-0.166549887439714
19		"WALKING"		"SD"		1716		0.0185747466575533
19		"WALKING_DOWNSTAIRS"		"Mean"		1287		0.102040595148446
19		"WALKING_DOWNSTAIRS"		"SD"		1287		0.207842446636077
19		"WALKING_UPSTAIRS"		"Mean"		1320		-0.309249674295568
19		"WALKING_UPSTAIRS"		"SD"		1320		-0.0845329172028788
20		"LAYING"		"Mean"		2244		-0.971673243807487
20		"LAYING"		"SD"		2244		-0.50402180870232
20		"SITTING"		"Mean"		2178		-0.962054556825528
20		"SITTING"		"SD"		2178		-0.490150258459881
20		"STANDING"		"Mean"		2409		-0.924119798111249
20		"STANDING"		"SD"		2409		-0.483051016351879
20		"WALKING"		"Mean"		1683		-0.183373669065847
20		"WALKING"		"SD"		1683		-0.00743287435070826
20		"WALKING_DOWNSTAIRS"		"Mean"		1485		-0.112178541969717
20		"WALKING_DOWNSTAIRS"		"SD"		1485		0.0205673516885596
20		"WALKING_UPSTAIRS"		"Mean"		1683		-0.300987852818651
20		"WALKING_UPSTAIRS"		"SD"		1683		-0.110537891611682
21		"LAYING"		"Mean"		2970		-0.966463192717172
21		"LAYING"		"SD"		2970		-0.49217039828296
21		"SITTING"		"Mean"		2805		-0.980383901240642
21		"SITTING"		"SD"		2805		-0.505868080101233
21		"STANDING"		"Mean"		2937		-0.965203536826694
21		"STANDING"		"SD"		2937		-0.515461450059273
21		"WALKING"		"Mean"		1716		-0.349500177592578
21		"WALKING"		"SD"		1716		-0.12972532338521
21		"WALKING_DOWNSTAIRS"		"Mean"		1485		-0.235810184772458
21		"WALKING_DOWNSTAIRS"		"SD"		1485		-0.0434805464459461
21		"WALKING_UPSTAIRS"		"Mean"		1551		-0.419599595109684
21		"WALKING_UPSTAIRS"		"SD"		1551		-0.177786205194939
22		"LAYING"		"Mean"		2376		-0.949517000464268
22		"LAYING"		"SD"		2376		-0.488323361132555
22		"SITTING"		"Mean"		2046		-0.957196402985694
22		"SITTING"		"SD"		2046		-0.483133445839389
22		"STANDING"		"Mean"		2079		-0.955314916002886
22		"STANDING"		"SD"		2079		-0.498255676157369
22		"WALKING"		"Mean"		1518		-0.26807311689122
22		"WALKING"		"SD"		1518		-0.0556136405290072
22		"WALKING_DOWNSTAIRS"		"Mean"		1188		-0.262597418835227
22		"WALKING_DOWNSTAIRS"		"SD"		1188		-0.0321664187679554
22		"WALKING_UPSTAIRS"		"Mean"		1386		-0.29935642051746
22		"WALKING_UPSTAIRS"		"SD"		1386		-0.0840679501617965
23		"LAYING"		"Mean"		2376		-0.974838249659091
23		"LAYING"		"SD"		2376		-0.502068483700922
23		"SITTING"		"Mean"		2244		-0.960073119210339
23		"SITTING"		"SD"		2244		-0.492153863023393
23		"STANDING"		"Mean"		2244		-0.962661937054367
23		"STANDING"		"SD"		2244		-0.507486524729542
23		"WALKING"		"Mean"		1947		-0.178675924182244
23		"WALKING"		"SD"		1947		-0.0151920652623677
23		"WALKING_DOWNSTAIRS"		"Mean"		1782		-0.096587253434725
23		"WALKING_DOWNSTAIRS"		"SD"		1782		0.0856423076854714
23		"WALKING_UPSTAIRS"		"Mean"		1683		-0.380009725559834
23		"WALKING_UPSTAIRS"		"SD"		1683		-0.138862085159026
24		"LAYING"		"Mean"		2376		-0.977079799002525
24		"LAYING"		"SD"		2376		-0.499245803186717
24		"SITTING"		"Mean"		2244		-0.977869422566845
24		"SITTING"		"SD"		2244		-0.496419075664324
24		"STANDING"		"Mean"		2277		-0.965586593825209
24		"STANDING"		"SD"		2277		-0.503253505697188
24		"WALKING"		"Mean"		1914		-0.505709536494514
24		"WALKING"		"SD"		1914		-0.20820533795512
24		"WALKING_DOWNSTAIRS"		"Mean"		1815		-0.361825458960094
24		"WALKING_DOWNSTAIRS"		"SD"		1815		-0.121025608942815
24		"WALKING_UPSTAIRS"		"Mean"		1947		-0.501053199934977
24		"WALKING_UPSTAIRS"		"SD"		1947		-0.224183976119461
25		"LAYING"		"Mean"		2409		-0.859226441427107
25		"LAYING"		"SD"		2409		-0.450866870566094
25		"SITTING"		"Mean"		2145		-0.978816477948252
25		"SITTING"		"SD"		2145		-0.49641281595442
25		"STANDING"		"Mean"		2442		-0.97601896464783
25		"STANDING"		"SD"		2442		-0.502494367163354
25		"WALKING"		"Mean"		2442		-0.578702555047461
25		"WALKING"		"SD"		2442		-0.261609986650979
25		"WALKING_DOWNSTAIRS"		"Mean"		1914		-0.489388597208359
25		"WALKING_DOWNSTAIRS"		"SD"		1914		-0.202515388020726
25		"WALKING_UPSTAIRS"		"Mean"		2145		-0.588295610674266
25		"WALKING_UPSTAIRS"		"SD"		2145		-0.28254187616882
26		"LAYING"		"Mean"		2508		-0.980657343927432
26		"LAYING"		"SD"		2508		-0.508710403510201
26		"SITTING"		"Mean"		2574		-0.971816617586636
26		"SITTING"		"SD"		2574		-0.492601756042066
26		"STANDING"		"Mean"		2442		-0.975943695888616
26		"STANDING"		"SD"		2442		-0.504876753283632
26		"WALKING"		"Mean"		1947		-0.466805034954854
26		"WALKING"		"SD"		1947		-0.170675802716523
26		"WALKING_DOWNSTAIRS"		"Mean"		1650		-0.284848807776182
26		"WALKING_DOWNSTAIRS"		"SD"		1650		-0.0661373995186115
26		"WALKING_UPSTAIRS"		"Mean"		1815		-0.467172712379008
26		"WALKING_UPSTAIRS"		"SD"		1815		-0.193503264709355
27		"LAYING"		"Mean"		2442		-0.985017043521704
27		"LAYING"		"SD"		2442		-0.509062502687154
27		"SITTING"		"Mean"		2310		-0.981737422142857
27		"SITTING"		"SD"		2310		-0.495477709500965
27		"STANDING"		"Mean"		2640		-0.977877930784091
27		"STANDING"		"SD"		2640		-0.509779188132768
27		"WALKING"		"Mean"		1881		-0.454950979293647
27		"WALKING"		"SD"		1881		-0.175650242052601
27		"WALKING_DOWNSTAIRS"		"Mean"		1452		-0.297589565580647
27		"WALKING_DOWNSTAIRS"		"SD"		1452		-0.0636421703057369
27		"WALKING_UPSTAIRS"		"Mean"		1683		-0.500441710464349
27		"WALKING_UPSTAIRS"		"SD"		1683		-0.235577658113458
28		"LAYING"		"Mean"		2640		-0.964252162746212
28		"LAYING"		"SD"		2640		-0.535170511866983
28		"SITTING"		"Mean"		2376		-0.964937670239899
28		"SITTING"		"SD"		2376		-0.497144560959832
28		"STANDING"		"Mean"		2607		-0.935392243072497
28		"STANDING"		"SD"		2607		-0.489441887481676
28		"WALKING"		"Mean"		1782		-0.453530772337374
28		"WALKING"		"SD"		1782		-0.174213213286403
28		"WALKING_DOWNSTAIRS"		"Mean"		1518		-0.251741788748867
28		"WALKING_DOWNSTAIRS"		"SD"		1518		-0.0270513374056252
28		"WALKING_UPSTAIRS"		"Mean"		1683		-0.451136779495425
28		"WALKING_UPSTAIRS"		"SD"		1683		-0.19566630324426
29		"LAYING"		"Mean"		2277		-0.988594156319719
29		"LAYING"		"SD"		2277		-0.505500411371238
29		"SITTING"		"Mean"		1980		-0.982026481712121
29		"SITTING"		"SD"		1980		-0.496017831658121
29		"STANDING"		"Mean"		2145		-0.985727862638695
29		"STANDING"		"SD"		2145		-0.508231420141435
29		"WALKING"		"Mean"		1749		-0.394165626288159
29		"WALKING"		"SD"		1749		-0.119527758730457
29		"WALKING_DOWNSTAIRS"		"Mean"		1584		-0.295372120789495
29		"WALKING_DOWNSTAIRS"		"SD"		1584		-0.0622532573329514
29		"WALKING_UPSTAIRS"		"Mean"		1617		-0.32789664862457
29		"WALKING_UPSTAIRS"		"SD"		1617		-0.136016812398584
30		"LAYING"		"Mean"		2310		-0.97131121374026
30		"LAYING"		"SD"		2310		-0.496127699551121
30		"SITTING"		"Mean"		2046		-0.971669425166178
30		"SITTING"		"SD"		2046		-0.492447529744965
30		"STANDING"		"Mean"		1947		-0.941460565007704
30		"STANDING"		"SD"		1947		-0.487123238836514
30		"WALKING"		"Mean"		2145		-0.388133759487506
30		"WALKING"		"SD"		2145		-0.145907370846527
30		"WALKING_DOWNSTAIRS"		"Mean"		2046		-0.332598011603382
30		"WALKING_DOWNSTAIRS"		"SD"		2046		-0.102448771145494
30		"WALKING_UPSTAIRS"		"Mean"		2145		-0.45655535663849
30		"WALKING_UPSTAIRS"		"SD"		2145		-0.221270619924211
